2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,Učitelství,pedagogické vědy příprava učitelů všeobecně-vzdělávacích předmětů 2. stupně ZŠ,Magisterské vzdělání z učitelství všeobecně-vzdělávacích předmětů na 2. stupni ZŠ,,None,None,None,None,None,0,,None,None,0,,None,,None,,§ 8 odst. (1) písm. a) : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-a,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, nejlogičtější cestou k tomu je magisterský titul z učitelství daného předmětu pro 2. stupeň ZŠ.

Tedy např. pokud rovnou po střední škole víš, že chceš učit na druhém stupni češtinu, vystuduješ bakaláře v oboru Český jazyk a literatura se zaměřením na vzdělávání a na téže škole pak navazujícího magistra Učitelství českého jazyka a literatury pro základní školy. Některé školy předchozího bakaláře v daném oboru pro přijetí na navazujícího magistra přímo vyžadují.

Pozn.: Pravděpodobně si k tomu v rámci svého studia budeš muset vybrat učitelství ještě dalšího předmětu.",1
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),2. stupeň ZŠ a SŠ,všeobecně-vzdělávací předměty,Učitelství,pedagogické vědy příprava učitelů všeobecně-vzdělávacích předmětů 2. stupně ZŠ a SŠ,Magisterské vzdělání z učitelství všeobecně-vzdělávacích předmětů na 2. stupni ZŠ a SŠ,,None,None,None,None,None,0,,None,None,0,,None,,None,,§ 8 odst. (1) písm. b) : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-b,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, kvalifikaci k tomu získáš magisterským titulem z učitelství daného předmětu pro 2. stupeň ZŠ a/nebo SŠ.

Tedy např. pokud chceš učit na druhém stupni dějepis, vystuduješ bakaláře v oboru Dějepis se zaměřením na vzdělávání a na téže škole pak navazujícího magistra Učitelství dějepisu pro SŠ a 2. stupeň ZŠ. Některé školy předchozího bakaláře v daném oboru pro přijetí na navazujícího magistra přímo vyžadují.

Pozn.: Pravděpodobně si k tomu v rámci svého studia budeš muset vybrat učitelství ještě dalšího předmětu.",2
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),SŠ / SOŠ / SOU / vyšší stupně gymnázií,všeobecně-vzdělávací předměty,Učitelství,pedagogické vědy příprava učitelů všeobecně-vzdělávacích předmětů SŠ,Magisterské vzdělání z učitelství všeobecně-vzdělávacích předmětů na SŠ,,None,None,None,None,None,0,,None,None,0,,None,,None,,§ 8 odst. (1) písm. c) : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-c,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, můžeš ho učit i s magisterským titulem z učitelství daného předmětu pro SŠ.

Tedy např. pokud chceš učit na druhém stupni zeměpis, vystuduješ bakaláře v oboru Geografie se zaměřením na vzdělávání a na téže škole pak navazujícího magistra Učitelství geografie pro střední školy. Některé školy předchozího bakaláře v daném oboru pro přijetí na navazujícího magistra přímo vyžadují.

Pozn.: Pravděpodobně si k tomu v rámci svého studia budeš muset vybrat učitelství ještě dalšího předmětu.",3
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),None,None,Speciální pedagogika pro učitele,pedagogické vědy speciální pedagogika pro učitele,Magisterské vzdělání ze speciální pedagogiky pro učitele,,None,None,None,None,None,0,,2. stupeň ZŠ / nižší stupně gymnázií,příprava učitelů 2. stupně ZŠ,Kurz celoživotního vzdělávání z přípravy učitelů 2. stupně ZŠ,,None,,None,,§ 8 odst. (1) písm. e) : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-e,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, můžeš ho učit s
1. magisterským titulem ze speciální pedagogiky pro učitele a k tomu se
2. studiem programu celoživotního vzdělávání (CŽV) uskutečňovaném vysokou školou a zaměřeném na přípravu učitelů 2. stupně ZŠ nebo SŠ.

To znamená, že pokud už máš magistra ze speciální pedagogiky, stačí ti doplnit si k tomu učitelské CŽV na některé vysoké škole.",4
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),None,None,Speciální pedagogika pro učitele,pedagogické vědy speciální pedagogika pro učitele,Magisterské vzdělání ze speciální pedagogiky pro učitele,,None,None,None,None,None,0,,SŠ / SOŠ / SOU / vyšší stupně gymnázií,příprava učitelů SŠ,Kurz celoživotního vzdělávání z přípravy učitelů SŠ,,None,,None,,§ 8 odst. (1) písm. e) : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-e,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, můžeš ho učit s
1. magisterským titulem ze speciální pedagogiky pro učitele a k tomu se
2. studiem programu celoživotního vzdělávání (CŽV) uskutečňovaném vysokou školou a zaměřeném na přípravu učitelů 2. stupně ZŠ nebo SŠ.

To znamená, že pokud už máš magistra ze speciální pedagogiky, stačí ti doplnit si k tomu učitelské CŽV na některé vysoké škole.",5
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),1. stupeň ZŠ,Any,Učitelství,pedagogické vědy příprava učitelů 1. stupně ZŠ,Magisterské vzdělání z učitelství na 1. stupni ZŠ,,Bakalářské vzdělání,2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,Učitelství,pedagogické vědy příprava učitelů všeobecně-vzdělávacích předmětů 2. stupně ZŠ,Bakalářské vzdělání z  učitelství všeobecně-vzdělávacích předmětů na 2. stupni ZŠ,,None,None,0,,None,,None,,§ 8 odst. (1) písm. f) bodu 1. : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-f-1,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, můžeš ho učit i s
1. magisterským titulem z učitelství 1. stupně ZŠ (jinak také primární pedagogika) a k tomu s
2. bakalářským titulem z učitelství pro 2. stupeň ZŠ.

To znamená, že pokud máš magistra z učitelství 1. stupně a později zjištíš, že by tě lákal spíš 2. stupeň, jednou z variant je doplnit si bakaláře z učitelství ideálně daného předmětu pro 2. stupeň ZŠ.

Pozn.: Pravděpodobně si k tomu v rámci svého bakalářského studia budeš muset vybrat učitelství ještě dalšího předmětu.",6
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),1. stupeň ZŠ,Any,Učitelství,pedagogické vědy příprava učitelů 1. stupně ZŠ,Magisterské vzdělání z učitelství na 1. stupni ZŠ,,None,None,None,None,None,0,,2. stupeň ZŠ / nižší stupně gymnázií,příprava učitelů 2. stupně ZŠ,Kurz celoživotního vzdělávání z přípravy učitelů 2. stupně ZŠ,,None,,None,,§ 8 odst. (1) písm. f) bodu 2. : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-f-2,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, můžeš ho učit i s
1. magisterským titulem z učitelství 1. stupně ZŠ (jinak také primární pedagogika) a k tomu se
2. studiem programu celoživotního vzdělávání (CŽV) uskutečňovaném vysokou školou a zaměřeném na přípravu učitelů 2. stupně ZŠ.

To znamená, že pokud máš magistra z učitelství 1. stupně a později zjištíš, že by tě lákal spíš 2. stupeň, stačí ti doplnit si k tomu učitelské CŽV pro 2. stupeň ZŠ na některé vysoké škole.",7
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),1. stupeň ZŠ,Any,Učitelství,pedagogické vědy příprava učitelů 1. stupně ZŠ,Magisterské vzdělání z učitelství na 1. stupni ZŠ,,None,None,None,None,None,0,,None,None,0,,doplňující studium k rozšíření odborné kvalifikace (DVPP),,None,,§ 8 odst. (1) písm. f) bodu 3. : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-f-3 ,None,"Pokud chceš učit určitý předmět na 2. stupni ZŠ, můžeš ho učit i s
1. magisterským titulem z učitelství 1. stupně ZŠ (jinak také primární pedagogika) a k tomu s
2. doplňujícím studiem k rozšíření odborné kvalifikace (DVPP).

To znamená, že pokud máš magistra z učitelství 1. stupně a později zjištíš, že by tě lákal spíš 2. stupeň, už jsi kvalifikovaný pedagog, a tak ti stačí doplnit si k tomu učitelství ideálně daného předmětu pro 2. stupeň ZŠ v rámci dalšího vzdělávání pedagogických pracovníků (DVPP).",8
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),None,None,Jiná neučitelská odborná specializace,"oblast studijního oboru, který odpovídá charakteru vyučovaného předmětu","Jakékoliv neučitelské magisterské vzdělání, odpovídající příslušnému předmětu",,Bakalářské vzdělání,SŠ / SOŠ / SOU / vyšší stupně gymnázií,všeobecně-vzdělávací předměty,Učitelství,pedagogické vědy příprava učitelů všeobecně-vzdělávacích předmětů SŠ,Bakalářské vzdělání z učitelství všeobecně-vzdělávacích předmětů na SŠ,,None,None,0,,None,,None,,§ 8 odst. (1) písm. d) bodu 1. : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-d-1,None,"Pokud chceš učit nějaký předmět na 2. stupni ZŠ, musíš mít
1. jakýkoliv magisterský titul a k tomu
2. bakalářský titul z učitelství pro 2. stupeň ZŠ.

V praxi to znamená, že když budeš chtít učit třeba dějepis, ale budeš mít třeba omylem magistra z ekonomie, nejlepší je pro tebe dodělat si bakaláře v oboru Dějepis se zaměřením na vzdělávání, čímž získáš pedagogickou kvalifikaci i potřebnou odbornost v předmětu.

Pozn.: Pravděpodobně si k tomu v rámci svého bakalářského studia budeš muset vybrat učitelství ještě dalšího předmětu.",9
2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,,Magisterské vzdělání (Mgr. nebo Ing.),None,None,Jiná neučitelská odborná specializace,"oblast studijního oboru, který odpovídá charakteru vyučovaného předmětu","Jakékoliv neučitelské magisterské vzdělání, odpovídající příslušnému předmětu",,Bakalářské vzdělání,2. stupeň ZŠ / nižší stupně gymnázií,všeobecně-vzdělávací předměty,Učitelství,pedagogické vědy příprava učitelů všeobecně-vzdělávacích předmětů 2. stupně ZŠ,Bakalářské vzdělání z  učitelství všeobecně-vzdělávacích předmětů na 2. stupni ZŠ,,None,None,0,,None,,None,,§ 8 odst. (1) písm. d) bodu 1. : https://www.zakonyprolidi.cz/cs/2004-563#p8-1-d-1,None,"Pokud chceš učit nějaký předmět na 2. stupni ZŠ, musíš mít
1. jakýkoliv magisterský titul a k tomu
2. bakalářský titul z učitelství pro 2. stupeň ZŠ.

V praxi to znamená, že když budeš chtít učit třeba dějepis, ale budeš mít třeba omylem magistra z ekonomie, nejlepší je pro tebe dodělat si bakaláře v oboru Dějepis se zaměřením na vzdělávání, čímž získáš pedagogickou kvalifikaci i potřebnou odbornost v předmětu.

Pozn.: Pravděpodobně si k tomu v rámci svého bakalářského studia budeš muset vybrat učitelství ještě dalšího předmětu.",10
